;ORIGEM;HERE;QUANTIDADE;PINV;CONF;CONFINV
0;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;1.0;0.9911482391762294;6.487457150345523e-05;0.9928332061143602
1;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;Ato Ordinatório - Intimação dos Advogados das Partes;1.0;0.9911482391762294;0.00845964412405056;0.3914431937991312
2;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;Juntada de documento;5.0;0.9565178275406669;0.1614494536263588;1.6835284661568293e-08
3;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;Ofício;1.0;0.9911482391762294;0.008599773198498023;0.38540872433585077
4;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;Por decisão judicial;1.0;0.9911482391762294;0.00012974914300691045;0.9857177751633197
5;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;Prazo alterado feriado;2.0;0.9823748320221402;0.03220114231145503;0.02815252303798743
6;Abandono da causa;Abandono da causa;2.0;0.9823748320221402;6.739992634051438e-05;0.9925552672773232
7;Abandono da causa;Ato Ordinatório - Intimação do Defensor Público;2.0;0.9823748320221402;3.390884723949432e-05;0.9962476075258768
8;Abandono da causa;Ato Ordinatório - Intimação dos Advogados das Partes;21.0;0.8296805114422607;0.00014607959241983386;0.9839347028436369
9;Abandono da causa;Audiência de conciliação cancelada;1.0;0.9911482391762294;8.623430658339573e-05;0.990484820823012
10;Abandono da causa;Audiência de conciliação realizada;1.0;0.9911482391762294;0.0002485024143691073;0.9728247848792816
11;Abandono da causa;Audiência de instrução e julgamento realizada;2.0;0.9823748320221402;4.438786471289041e-05;0.9950908377644606
12;Abandono da causa;Autos Entregues em Carga ao Advogado;1.0;0.9911482391762294;0.00031955781192127147;0.9651911128661381
13;Abandono da causa;Autos entregues com carga/vista ao advogado;1.0;0.9911482391762294;0.00015690675000862517;0.9827542967909172
14;Abandono da causa;Autos entregues com carga/vista ao ministério público;1.0;0.9911482391762294;3.5196965666456636e-05;0.9961053407785091
15;Abandono da causa;Aviso de Recebimento (AR);2.0;0.9823748320221402;0.00019144224945583088;0.9789985972093664
16;Abandono da causa;Baixa Definitiva;1.0;0.9911482391762294;0.00031203798542873474;0.9659961455551512
17;Abandono da causa;Certidão emitida;111.0;0.37272294366955294;0.00341873593318105;0.684523104995034
18;Abandono da causa;Concluso para Sentença;2.0;0.9823748320221402;0.0005328632606239221;0.9426330713251139
19;Abandono da causa;Conclusão;3.0;0.9736790849697884;0.0006039882861991654;0.9352290914467207
20;Abandono da causa;Decisão;3.0;0.9736790849697884;3.839985472809265e-05;0.9957516844884706
21;Abandono da causa;Decurso de Prazo;2.0;0.9823748320221402;0.0004773349122183847;0.948454187765315
22;Abandono da causa;Definitivo;3.0;0.9736790849697884;0.0008384954679293848;0.9112268409270762
23;Abandono da causa;Desarquivamento;1.0;0.9911482391762294;5.758237508636921e-05;0.99363621722108
24;Abandono da causa;Despacho/decisão enviado para disponibilização no diário da justiça eletrônico;1.0;0.9911482391762294;0.0003664174714534679;0.9601896607408209
25;Abandono da causa;Devolução;1.0;0.9911482391762294;4.2090139951281966e-05;0.9953443666105473
26;Abandono da causa;Documento;15.0;0.8751433688733717;0.0012304664238528618;0.872475279329996
27;Abandono da causa;Encaminhado edital/relação para publicação;109.0;0.37941011060140106;0.0019841549596719714;0.8025333370464924
28;Abandono da causa;Entrada de petição de acompanhamento;1.0;0.9911482391762294;0.00031538013053652883;0.9656382703871267
29;Abandono da causa;Expedição de Ato Ordinatório;3.0;0.9736790849697884;0.00010900267013024304;0.9879876805528333
30;Abandono da causa;Expedição de Carta;20.0;0.837090233981378;0.0004037729058353749;0.9562211905292072
31;Abandono da causa;Expedição de Certidão de Intimação Pessoal para a Defensoria;2.0;0.9823748320221402;3.474438351644285e-05;0.9961553240772486
32;Abandono da causa;Expedição de Certidão de Intimação Pessoal para o MP;1.0;0.9911482391762294;3.380440520487576e-05;0.996259143558048
33;Abandono da causa;Expedição de Mandado;41.0;0.6945174534529915;0.0005061609137731088;0.9454278437589864
34;Abandono da causa;Expedição de Termo;1.0;0.9911482391762294;5.615500061324881e-05;0.9937934745996572
35;Abandono da causa;Expedição de Termo de Audiência;4.0;0.965060310590528;0.0002693908212928204;0.9705744430941681
36;Abandono da causa;Expedição de documento;19.0;0.8445661313761772;0.0007143835167909892;0.9238521742518306
37;Abandono da causa;Extinção;16.0;0.8673968090855959;3.766876048576269e-05;0.9958323993198067
38;Abandono da causa;Homologação de Transação;1.0;0.9911482391762294;0.00015621046977783474;0.9828301645240544
39;Abandono da causa;Improcedência;1.0;0.9911482391762294;0.00023764044276877643;0.973997023826132
40;Abandono da causa;Informação;181.0;0.2000272160865137;0.00032272588697136793;0.9648521564683677
41;Abandono da causa;Informações;8.0;0.9313414030770863;0.00025034755698070195;0.9726257947779342
42;Abandono da causa;Juntada;102.0;0.40377423553359587;0.000269495263327439;0.9705632044741037
43;Abandono da causa;Juntada de documento;53.0;0.624232720347552;0.002197530036397701;0.7837708143358162
44;Abandono da causa;Mandado;4.0;0.965060310590528;0.0005013913941921943;0.9459279118975128
45;Abandono da causa;Mero expediente;13.0;0.8908446555699713;0.0014567923128712937;0.8508550000085152
46;Abandono da causa;Mudança de classe processual;1.0;0.9911482391762294;4.083683553585918e-05;0.9954826822965592
47;Abandono da causa;Petição;4.0;0.965060310590528;0.001962779156586705;0.8044375327210501
48;Abandono da causa;Prazo alterado feriado;1.0;0.9911482391762294;0.0004653240782372496;0.9497180217921045
49;Abandono da causa;Procedência em Parte;1.0;0.9911482391762294;0.00013368580431176406;0.9852876476761079
50;Abandono da causa;Processo apto a ser redistribuído;1.0;0.9911482391762294;0.00013291989605789458;0.9853713176351214
51;Abandono da causa;Publicacao;2.0;0.9823748320221402;5.364839178240324e-05;0.9940696941303337
52;Abandono da causa;Recebidos os Autos pela Unidade Judiciária;11.0;0.9068276451425763;0.0003727188075421214;0.9595190827390202
53;Abandono da causa;Recebimento;38.0;0.7132919502677222;0.001105275238356741;0.8846695455152916
54;Abandono da causa;Registro;4.0;0.965060310590528;3.8678366820408824e-05;0.9957209377021611
55;Abandono da causa;Remessa;116.0;0.35651614035336315;0.0005869642345563391;0.9369959516245012
56;Abandono da causa;Remessa a outro Foro;1.0;0.9911482391762294;8.059443671399318e-05;0.9911043532226166
57;Abandono da causa;Remessa dos Autos - Redistribuição para varas não virtualizadas;1.0;0.9911482391762294;8.727872692958139e-05;0.9903701351063376
58;Abandono da causa;Remessa dos autos;3.0;0.9736790849697884;0.0002240629782683629;0.9754643090793595
59;Abandono da causa;Remessa dos autos pela distribuição;2.0;0.9823748320221402;0.00014510480009672725;0.984041046888686
60;Abandono da causa;Sem Resolução de Mérito;1.0;0.9911482391762294;4.3726398493639495e-05;0.9951638167212958
61;Abandono da causa;Sentença disponibilizada no diário da justiça eletrônico;1.0;0.9911482391762294;5.806977124792252e-05;0.9935825252790786
62;Abandono da causa;Sentença enviada para disponibilização no diário da justiça eletrônico;2.0;0.9823748320221402;6.294373286345559e-05;0.9930457654040302
63;Abandono da causa;Trânsito em julgado;20.0;0.837090233981378;0.0008474426688950419;0.9103233794500893
64;Acolhimento de Embargos de Declaração;Acolhimento de Embargos de Declaração;3.0;0.9736790849697884;6.712177315553366e-05;0.9925858768143652
65;Acolhimento de Embargos de Declaração;Ato Ordinatório - Intimação dos Advogados das Partes;4.0;0.965060310590528;0.0004098021901637505;0.955582206047969
