;ORIGEM;HERE;QUANTIDADE;PINV;CONF;CONFINV
61;Apensado;Mero expediente;11.0;0.7174023174226072;0.00802517330304966;0.6795394295443714
62;Apensado;Petição;35.0;0.3475868804376716;0.017037720522708813;0.44033775305388934
63;Apensado;Petição juntada ao processo;3.0;0.913403297363231;0.002876948919961199;0.8706639021988603
64;Apensado;Reativação;1.0;0.9702586540055314;0.0003801231851483821;0.9818669020446213
65;Apensado;Recurso Eletrônico;2.0;0.9414018556726255;0.00046529601501565444;0.9778491890529494
66;Apensado;Redistribuição de processo - saída;4.0;0.8862374538638627;0.0034510768842517013;0.8469290470428711
67;Apensado;Remessa a outro Foro;1.0;0.9702586540055314;0.0003470004179777762;0.983433800352272
68;Apensado;Remessa dos autos à Vara de Origem;1.0;0.9702586540055314;0.00054415974637424;0.974143744464151
69;Apensamento;Liminar;2.0;0.9414018556726255;0.029147640791476408;0.24580982117501976
70;Apensamento;Mandado;1.0;0.9702586540055314;0.13401826484018264;0.0015777179322256651
71;Apensamento;Mero expediente;1.0;0.9702586540055314;0.37359208523592086;1.5458549173642335e-08
72;Arquivado provisoriamente;Arquivado provisoriamente;2.0;0.9414018556726255;0.0005707762557077625;0.9728963287475092
73;Arquivado provisoriamente;Certificação de Processo enquadrado em meta do CNJ;1.0;0.9702586540055314;0.01158675799086758;0.5724680599393247
74;Arquivado provisoriamente;Concluso para Despacho;1.0;0.9702586540055314;0.12256468797564687;0.0027383794854228547
75;Arquivado provisoriamente;Conclusão;2.0;0.9414018556726255;0.1476407914764079;0.0008188757990005837
76;Arquivado provisoriamente;Entrada de petição de acompanhamento;1.0;0.9702586540055314;0.01645738203957382;0.45281340852318724
77;Arquivado provisoriamente;Juntada;1.0;0.9702586540055314;0.003310502283105023;0.8526799960657139
78;Arquivado provisoriamente;Juntada de documento;8.0;0.7854168246311021;0.08923135464231355;0.013627188442439993
79;Assistência Judiciária Gratuita;Encaminhado edital/relação para publicação;2.0;0.9414018556726255;0.7547945205479452;1.656627976261758e-16
80;Assistência Judiciária Gratuita;Expedição de Mandado;1.0;0.9702586540055314;0.18942161339421612;0.00010956972280013324
81;Assistência Judiciária Gratuita;Petição;1.0;0.9702586540055314;0.8102739726027397;1.146291488588552e-17
82;Assistência judiciária gratuita;Concluso para Sentença;1.0;0.9702586540055314;0.0033409815458476265;0.8514297738020865
83;Assistência judiciária gratuita;Conclusão;1.0;0.9702586540055314;0.01203419735417282;0.5602688492781834
84;Assistência judiciária gratuita;Custas Processuais Emitidas;14.0;0.6552776422698328;0.002139985006474477;0.9021079760820512
85;Assistência judiciária gratuita;Cópia da Petição de Agravo de Instrumento;1.0;0.9702586540055314;0.00033924744617854413;0.9838009217200349
86;Assistência judiciária gratuita;Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico;2.0;0.9414018556726255;0.015484222722006407;0.4745319833165825
87;Assistência judiciária gratuita;Encaminhado edital/relação para publicação;162.0;0.007512406046598668;0.015104083842583127;0.483295995471167
88;Assistência judiciária gratuita;Expedição de Ofício;1.0;0.9702586540055314;0.0012979243811384478;0.9394286551485724
89;Assistência judiciária gratuita;Mudança de classe;1.0;0.9702586540055314;0.0005770235580090415;0.9726037727145269
90;Assistência judiciária gratuita;Petição;17.0;0.598532759137669;0.01639897922866641;0.4540883168993462
91;Assistência judiciária gratuita;Remessa dos Autos - Redistribuição entre varas virtualizadas;1.0;0.9702586540055314;0.0011495036234353347;0.9461650291942886
92;Ato Ordinatório - Intimação do Defensor Público;Certidão com o Recebimento da Intimação Pessoal do Defensor;1.0;0.9702586540055314;0.00076103500761035;0.9640260126134359
93;Ato Ordinatório - Intimação dos Advogados das Partes;Ato Ordinatório - Intimação dos Advogados das Partes;13.0;0.6753638728854843;0.0005948319599713082;0.9717703026089729
94;Ato Ordinatório - Intimação dos Advogados das Partes;Autos Entregues em Carga ao Advogado;2.0;0.9414018556726255;0.000467118039153939;0.9777634216544169
95;Ato Ordinatório - Intimação dos Advogados das Partes;Certidão emitida;13.0;0.6753638728854843;0.017374341748456062;0.4332594603889111
